left_product,left_manufacturer,left_price,left_description,right_product,right_manufacturer,right_price,right_description,match
"Smartwatch, Krillmall, Iwo 12, Relógio Inteligente Esportivo",Krillmall,254.03,"Chegou a hora de modernizar seu dia-a-dia. O smartwatch Iwo 12 é um sucesso no mundo todo e vai te ajudar a manter-se atualizado e pontual. Gerencie suas notificações de redes sociais, programe e desprograme alarmes, monitore suas calorias ou nível de oxigenação e ajuste o volume de suas músicas com apenas alguns toques. Sincronizando seu smartwatch Iwo 12 e smartphone, você poderá explorar ainda mais as funções de seu telefone sem retirá-lo do bolso.Além disso, você também poderá rastrear seu telefone utilizando apenas seu relógio inteligente e ativar lembretes de sedentarismo para incentivá-lo a praticar exercícios físicos.","Smartwatch Krillmall 12, Bluetooth, Relógio Inteligente, Esportivo",Krillmall,254.03,"Chegou a hora de modernizar seu dia-a-dia. O smartwatch Iwo 12 é um sucesso no mundo todo e vai te ajudar a manter-se atualizado e pontual. Gerencie suas notificações de redes sociais, programe e desprograme alarmes, monitore suas calorias ou nível de oxigenação e ajuste o volume de suas músicas com apenas alguns toques. Sincronizando seu smartwatch Iwo 12 e smartphone, você poderá explorar ainda mais as funções de seu telefone sem retirá-lo do bolso.Além disso, você também poderá rastrear seu telefone utilizando apenas seu relógio inteligente e ativar lembretes de sedentarismo para incentivá-lo a praticar exercícios físicos.",1
"Smartwatch Smart Bracelet T80, Monitor de Saúde, Android, IOS, Rosa + 2 Pulseiras Milanesa, Rosê e Arco Íris",Smart Bracelet,239.9,"Detalhes O relógio SmartWatch P70 possui muitas diversas funções. Com ele você pode ler mensagens, ver notificações, SMS e muito mais! O aplicativo para configurar o relógio é disponibilizado no manual enviado juntamente ao produto, possível de ser encontrado no Google Play e App Store. Para parear o smartphone com o relógio: Abra o aplicativo no seu telefone. Vá em ″device″ ou ″dispositivos″ e selecione ″adicionar um dispositivo″. Escolha o relógio na lista. Pronto para usar!","Smartwatch Smart Bracelet IWO 9 Lite, Monitor de Sono, Android e IOS, Rosa+ Pulseira Extra, Nylon, Rosa Vintage",Smart Bracelet,169.9,"Relógio Inteligente SmartWatch IWO 9 Lite - Compatível com Android e iOS O relógio SmartWatch IWO 9 Lite possui muitas diversas funções. Com ele você pode ler mensagens, ver notificações, SMS e muito mais! Funções: - Batimentos Cardíacos: é programado para fazer a medição dos seus batimentos, indicando se está tudo bem com a sua saúde- Chamadas: Faz e recebe chamadas quando pareado com o celular- Notificações: irá te avisar suas notificações do seu celular como WhatsApp, Facebook, Instagram entre outros- Lembrete de Sedentarismo: o relógio te notifica quando for o momento de se exercitar - Encontrar seu celular: o relógio faz com que seu SmartPhone emita um som para que você possa encontrá-lo - Monitor de Sono: calcula a qualidade do seu sono- Calendário - Calculadora - Cronômetro",0
Case Original Spigen Apple Watch 38mm Rugged Armor Black,SPIGEN,135.45,Case Original Spigen Apple Watch 38mm Rugged Armor Black,"Capa Original Spigen Ipad Pro 12.9"" 2021 Ultra Hybrid Pro",SPIGEN,460.95,"Apple iPad Pro 12,9 ″(2021) estojo Ultra Hybrid Pro Tenha certeza de usar sua criatividade ou produtividade. O Ultra Hybrid Pro é ultra conversível, construído com um fundo que permanece cristalino e leva quedas com a tecnologia Air Cushion. Fique limpo e limpo, nós pegamos você.",0
Carregador Tomada Turbo Inteligente 3 Usb Viagem A3304 Maketech,MAKETECH,49.99,Carregador Tomada Turbo Inteligente 3 Usb Viagem A3304 Maketech,Carregador 4.4a 22w Maketech A4404,MAKETECH,55.0,"A Empresa Maketech Trabalha Para Trazer Para Todas As Pessoas Produto Que Vai Desde Acessórios De Celular Ou Carros A Caixas De Som Das Mais Potentes! Tento Como Ideal, Disponibilizar Apenas O Que Existe De Melhor No Mundo Dando Garantia Para Todos Os Seus Produtos, Seja Na Hora De Carregadar Seu Dispositivo Eletronico Ou Ouvir Suas Musicas Junto Com Seus Amigos E Familiares A Maketech Pode Estar Inclusa Para Garantir Que Esses Momentos Seja Muito Mais Práticos E Felizes. Cuidados Outro erro comum é deixar o cabo totalmente esticado enquanto o aparelho fica ligado na tomada, o que pode comprometer a vida útil do cabo e do seu carregador. A melhor saída então é usar um suporte próprio para celulares (pode ser daqueles bem baratinhos) ou deixar o equipamento próximo à tomada, de preferência em ambientes ventilados e sem exposição ao sol ou ao calor.Terminou de carregar o aparelho? O passo seguinte é enrolar cuidadosamente o cabo USB. Para isso, desconecte-o do plug do carregador e enrole-o ao redor da sua mão. Isso é importante porque guardar cabo e carregador conectados pode acabar forçando as extremidades do fio.",0
Suporte Universal Veicular Automotivo Para Smartphone Navegador Gps - Saída De Ar,Exbom,20.6,"Com o suporte veicular universal, será, possí,vel checar seu celular durante o uso do GPS, sem a necessidade de desviar sua atenç,ã,o do trâ,nsito, garantindo uma viagem segura.Mantenha suas mã,os livres e utilize seu aparelho de maneira correta e segura enquanto estiver no volante.Caracterí,sticas:- Suporte de fá,cil fixaç,ã,o,- Compatí,vel com diversos modelos de celulares e GPS",Fone De Ouvido Earbuds Estéreo Bluetooth BTWS-S30 Exbom,Exbom,85.99,"Fone De Ouvido Bluetooth Earbuds Tws Estéreo Estojo De Carregamento Exbom Btws-s30 Preto E Vermelho Fone de ouvido intra-auricular bluetooth com tecnologia TWS, o verdadeiro som estéreo de excelente qualidade. Ambos microfones detectam o som externo e, em seguida, combatem com igual anti-ruído, cancelando o som externo. Tem design compacto e poderoso, é fácil de levar para qualquer lugar. Oferece até quatro horas de autonomia com uma carga completa de bateria. A base de carregamento, que funciona como bateria externa, estende esse tempo com mais 10 horas de uso. O processo de recarga pode levar duas horas usando apenas a caixinha, ou 1h e meia, com o estojo ligado à tomada. É compatível com vários dispositivos bluetooth de versão 5.0 e possui botão sensível ao toque. Com gestos simples, o usuário pode avançar ou interromper a reprodução de áudio, além de permitir o atendimento de chamadas telefônicas. Aproveite agora este mini fone wireless com tecnologia TWS e curta suas músicas favoritas!",0
Película Protetora p/ Iphone 5/5S Fortrek ISP203 Antiglare,Fortrek,19.0,"Películas Protetoras compatíveis com iPhone 5 e 5S de alta definição.Produzidas com tecnologia Alemã e fabricadas com material em plástico Óptico feito no Japão. Taxa de transparência de 95 a 98%.Especificações TécnicasDescrição : Película Protetora p/ Iphone 5/5S Fortrek ISP203 AntiglareAcessórios para Celular : PelículasEspecificação : Marca: FortrekModelo: ISP203Mdedidas: Largura 18,40cm x Altura 9,00cm x Profundidade 8,90cmPeso: 0,02 gImagem Grande : -Garantia : 03 meses contra Defeitos de Fabricação..",Película Protetora p/ Iphone 4/4S Fortrek ISP201 Anti Glare,Fortrek,19.0,Películas Protetoras compatíveis com iPhone 4 e 4S com sistema antirreflexo e anti-impressões digitais.Produzidas com tecnologia Alemã e fabricadas com material em plástico Óptico feito no Japão.Especificações TécnicasDescrição : Película Protetora p/ Iphone 4/4S Fortrek ISP201 Anti GlareAcessórios para Celular : PelículasEspecificação : Taxa de Transparência: 93% Antirreflexo e Anti-impressão Digital Superfície Ultra Lisa Produzido com Tecnologia Alemã Aplicação Eletrostática (não utiliza cola) Compatibilidade: iPhone 4/4SImagem Grande : -Garantia : 03 meses contra Defeitos de Fabricação..,0
"Carregador Portátil Power Bank, 30.000mah, Super Carga Rápida, Preto",h-maston,292.89,"Carregador portá,til super carga 30.000 mah, perfeito para você, que precisa de vá,rias cargas durante o dia.produto robusto com 03 entradas para carregamento: 01 porta micro iphone/01 porta micro usb v8/01 porta micro usb tipo c.para o seu conforto possui duas portas usb turbo rá,pida, que podem ser usadas simultaneamente. Valioso em viagens, emergê,ncias e situaç,õ,es que é, indispensá,vel o uso de seu telefone celular. Um carregamento rá,pido seguro e com um preç,o que cabe no seu bolso.pode ser levado a qualquer lugar dentro da sua bolsa, mochila e etc. Só, nã,o se esqueç,a que mesmo a bateria do produto durar um longo perí,odo de tempo tem que sempre estar atento a carga restante do produto para que nã,o tenha nenhum inconveniente na utilizaç,ã,o do produto.esse modelo possui incrí,veis 30000mah de capacidade total o que proporciona até, 10 recargas em seu aparelho dependendo do modelo do seu celular e das condiç,õ,es de uso durante o carregamento. O seu visor indicativo te dá, mais seguranç,a e controle na gestã,o da carga, e te diz a hora certa de carregar sua power bank.tenha a certeza que esse carregador vai te entregar a energia que você, precisa para estar sempre online em qualquer lugar.obs.: o produto vem de fabrica com mais ou menos meia carga e para a primeira recarga é, necessá,rio o uso total da energia já, contida no carregador. Assim que descarregar é, recomendá,vel que recarregue por no mí,nimo 08 horas sem interrupç,ã,o. A primeira carga vai demorar algum tempo, mas depois será, está,vel para o uso.nas pró,ximas é, só, acompanhar o led indicador estando totalmente carregado quando a indicaç,ã,o atingir 100%.se a primeira carga nã,o seguir essas instruç,õ,es o produto pode ter seu desempenho e potê,ncia reduzidos.especificaç,õ,es:modelo: pn-899pdcor: pretocapacidade: 3.7v / 30000 mah / 111whentrada: 01 porta micro-usb v8 entrada: dc01 5v-2a / d02 5v-2a / dc03 5v-3asaí,da: 02 usb 5v 3a má,xled indicador de bateria: simtipo de carregamento: rá,pidocargas: até, 10 dependendo do aparelhodimensõ,es do produto: 15 x 7.4 x 3.8 cmpeso: 642 gconteú,do da embalagem:1x power bank 30000mah1x cabo micro usb v8 carregamento power bank1x manual de instruç,õ,es portuguê,sespecificações técnicascor: preto","Carregador Portátil Power Bank, 30.000mah, Super Carga Rápida, Preto",h-maston,292.89,"Carregador portá,til super carga 30.000 mah, perfeito para você, que precisa de vá,rias cargas durante o dia.produto robusto com 03 entradas para carregamento: 01 porta micro iphone/01 porta micro usb v8/01 porta micro usb tipo c.para o seu conforto possui duas portas usb turbo rá,pida, que podem ser usadas simultaneamente. Valioso em viagens, emergê,ncias e situaç,õ,es que é, indispensá,vel o uso de seu telefone celular. Um carregamento rá,pido seguro e com um preç,o que cabe no seu bolso.pode ser levado a qualquer lugar dentro da sua bolsa, mochila e etc. Só, nã,o se esqueç,a que mesmo a bateria do produto durar um longo perí,odo de tempo tem que sempre estar atento a carga restante do produto para que nã,o tenha nenhum inconveniente na utilizaç,ã,o do produto.esse modelo possui incrí,veis 30000mah de capacidade total o que proporciona até, 10 recargas em seu aparelho dependendo do modelo do seu celular e das condiç,õ,es de uso durante o carregamento. O seu visor indicativo te dá, mais seguranç,a e controle na gestã,o da carga, e te diz a hora certa de carregar sua power bank.tenha a certeza que esse carregador vai te entregar a energia que você, precisa para estar sempre online em qualquer lugar.obs.: o produto vem de fabrica com mais ou menos meia carga e para a primeira recarga é, necessá,rio o uso total da energia já, contida no carregador. Assim que descarregar é, recomendá,vel que recarregue por no mí,nimo 08 horas sem interrupç,ã,o. A primeira carga vai demorar algum tempo, mas depois será, está,vel para o uso.nas pró,ximas é, só, acompanhar o led indicador estando totalmente carregado quando a indicaç,ã,o atingir 100%.se a primeira carga nã,o seguir essas instruç,õ,es o produto pode ter seu desempenho e potê,ncia reduzidos.especificaç,õ,es:modelo: pn-899pdcor: pretocapacidade: 3.7v / 30000 mah / 111whentrada: 01 porta micro-usb v8 entrada: dc01 5v-2a / d02 5v-2a / dc03 5v-3asaí,da: 02 usb 5v 3a má,xled indicador de bateria: simtipo de carregamento: rá,pidocargas: até, 10 dependendo do aparelhodimensõ,es do produto: 15 x 7.4 x 3.8 cmpeso: 642 gconteú,do da embalagem:1x power bank 30000mah1x cabo micro usb v8 carregamento power bank1x manual de instruç,õ,es portuguê,sespecificações técnicascor: preto",1
Película Traseira De Fibra De Carbono Transparente Para Xiaomi Mi 9t (k20) - Gorila Shield,GORILA SHIELD,21.82,Película Traseira De Fibra De Carbono Transparente Para Xiaomi Mi 9t (k20) - Gorila Shield,Kit Capa Dual Shock X E Pelicula Nano Vidro Para Xiaomi Redmi Note 9 - Gshield,GORILA SHIELD,142.0,"A Capa Dual Shock X da Gshield, foi projetada com uma dupla proteção. Além da proteção padrão de capas, a Dual Shock possui uma elevação na parte traseira que evita que a câmera entre em contato direto com os impactos. 2) A Película de Nano Vidro da Gshield é fabricada por um composto de polímeros reforçados. Ela é extremamente semelhante ao material da película de vidro, entretanto possui uma resistência 3x maior. Além disso, o acessório não se quebra ou se parte com os impactos. Todas as películas para celular da Gorila Shield possuem Certificação US Military, que garante que seu equipamento suportará condições ambientais difíceis.",0
"Smartwatch Garmin, Venu Sq Music Light - Gold/navy",Garmin,1599.9,smartwatch garmin venu sq music light gold/navy Agora é a hora perfeita para se movimentar. com uma tela de cores brilhantes o relógio inteligente venu sq - music edition gps combina estilo diário e armazenamento de música no dispositivo com monitoramento de saúde e recursos fitness que inspiram você a se manter em movimento.,"Smartwatch Garmin Venu Sq, Música, Bluetooh, GPS e Monitor de Sono, Rose Gold/Sand - 010-02426-01",Garmin,2398.4,"Smartwatch Garmin Venu Sq, Música, Bluetooh, GPS e Monitor de Sono, Rose Gold/Sand    Smartwatch Garmin Venu Sq Acompanhe e acesse informações valiosas sobre a saúde com as mãos livres com este smartwatch Garmin Venu GPS preto. A conectividade dos fones de ouvido sem fio e os recursos de armazenamento de música permitem a audição sem telefone, e o Garmin Pay permite pagamentos rápidos sem alcançar sua carteira. Este smartwatch Garmin Venu GPS oferece monitoramento durante todo o dia, fornecendo feedback contínuo e programas pré-carregados suportam uma ampla variedade de exercícios.   Compre seu Smartwatch Garmin Venu Sq aqui no KaBuM!   ",1
Cabo Para Smartphone Usb Comum Para Usb-c 3.1a Metálico 1.2m,Ikemacell,29.9,"Cabo USB comum para USB-C para carregamento rápido compatível com modelos iphone , samsung, motorola e aparelhos com conexção USB-C, possui cordão metálico ultra resistente.",Cabo Lightning Para Iphone Homologado Certificado 3.1a 1m,Ikemacell,59.9,"Cabo lightning para carregar e transferir dados compatível com Iphone, certificado MFI (made for iphone) que garante total compatibilidade e carregamento rápido do seu aparelho.",0
Relógio Inteligente Smartwatch Bracelete D30 Bluetooth,Fit Pro,58.99,Relógio Inteligente Smartwatch Bracelete D30 Bluetooth,Relógio Redondo Smartwatch Bracelete Bluetooth D18,Fit Pro,54.99,Relógio Redondo Smartwatch Bracelete Bluetooth D18,1
"Carregador Por Indução Sem Fio, USB, QC Portátil , Bivolt, Branco",Qc,79.99,"Base Carregador por indução sem fio compatível para todos tipos de celulares dos modelos recentes.Atenção!!! Este carregador só serve para modelos celular que tem a tecnologia qi de carregamento por indução, modelos de celular antigo não são compatível.",Carregador Rápido Portátil Celular Por Indução Sem Fio - Preto,Qc,79.99,"Base Carregador por indução sem fio compatível para todos tipos de celulares dos modelos recentes ATENÇÃO!!! ESTE CARREGADOR SÓ SERVE PARA MODELOS CELULAR QUE TEM A TECNOLOGIA Qi DE CARREGAMENTO POR INDUÇÃO, MODELOS DE CELULAR ANTIGO NÃO SÃO COMPATÍVEL.- Carregamento de 2 bobinas: O carregamento sem fio de duas bobinas não permite o carregamento cego e torna o carregamento mais simples.- Carregador de suporte: carregue seu telefone verticalmente ou horizontalmente, aproveite seu filme sem se preocupar com falhas de carregamento. - Modo de carregamento rápido: 1,4 vezes mais rápido do que o carregamento sem fio padrão.",0
"Smartphone Sony Xperia XA1 Ultra G3226 Preto com 64GB, Tela 6"" FHD, Dual Chip, Câmera 23MP, 4G, Android 7.0, Processador Octa-Core e 4GB de RAM",Sony,,"Para quem deseja um smartphone potente, tela grande e com as melhores câmeras da categoria, então você precisa do Sony Xperia XA1 Ultra. Um aparelho que vai muito além de falar, ouvir, mandar mensagens, navegar na internet e tirar fotos com qualidade que deixam a desejar. O Xperia XA1 Ultra é o smartphone para todas as horas, quanto mais você usa, mais inteligente e personalizado ele fica, não é incrível?
De cara você já se impressiona com sua grande tela Full HD de 6 polegadas, e seu design Premium sem bordas, laterais de alumínio e vidro 2.5D que lhe conferem muita elegância. Apesar do seu tamanho o Xperia XA1 Ultra tem um ajuste perfeito na mão. 
Com um processador Octa-core e 4 GB de RAM fica tudo mais fácil na hora de rodar aplicativos, jogos ou qualquer outra tarefa. É tudo rápido e suave para que você seja atendido em todas as suas necessidades.

O Xperia XA1 Ultra possui duas câmeras de alto desempenho para que você possa registrar todos aqueles bons momentos da vida. A câmera traseira de 23 MP conta com autofoco híbrido, sensor Exmor RS™ para celular, que captura imagens mesmo com pouca luz, e início rápido para tirar fotos perfeitas em cores realistas. E com a câmera frontal de 16MP todos seus amigos sairão bem na selfie, graças aos seus avançados recursos que permitem fotos menos tremidas e imagens mais nítidas com cores lindas em qualquer luz.",Smartphone Sony Xperia T2 Ultra Duos D5322 3G Android 4.4 8GB Câmera 13MP ANATEL!,Sony,,"Câmera inteligente. Tela brilhante. Entretenimento onde quer que você esteja. Fácil de carregar, é o aparelho ideal para entretenimento em grande escala!Com o Xperia T2 Ultra Dual, a empolgação está sempre em suas mãos. Tenha acesso constante a seus arquivos armazenados e conteúdo on-line em sua tela inicial com os aplicativos de mídia da Sony. E veja tudo no impressionante display HD TRILUMINOSTM de 6” .Cheio de estilo, conta com uma câmera de 13 MP com um sensor de imagem Exmor RSTM para celular. Para suas fotos ficarem ainda mais vibrantes, ele já vem com aplicativos de câmera Xperia. Além disso, conta com recursos para valorizar ainda mais seus closes, com o Retoque de fotografias.Publique seus vídeos no Facebook pelo Social live. Deixe para trás todos os seus problemas de conectividade. Graças à tecnologia sem fio NFC, você pode conectar o seu Xperia T2 Ultra Dual a mais de 100 dispositivos habilitados para NFC da Sony: desde fones de ouvido até TVs BRAVIA®. E a conexão é muito mais fácil do que você imagina: basta um toque.Seu design leve e elegante, facilita a sua diversão em qualquer lugar. Além disso, os Smartphones com dois chips oferecem muitas vantagens. Assim, você pode separar o trabalho da diversão e gerenciar o custo das suas chamadas de forma mais eficiente. E mais, você pode falar usando um chip e ainda receber chamadas no outro, sem precisar do correio de voz. Isso lhe dá a opção de colocar a primeira chamada em espera enquanto atende à outra chamada recebida. Com isso, você nunca perderá uma chamada.E o melhor ainda está por vir! Ele conta com a função Mobile BRAVIA® Engine 2, que oferece uma experiência de exibição ainda melhor ao incluir uma nova otimização de contraste em tempo real no aprimoramento da nitidez, gerenciamento de cores de alta qualidade e redução de ruído; Processador Quad-Core avançado de 1.4 GHz Qualcomm® Snapdragon, oferecendo o máximo em desempenho e velocidade com gráficos incríveis. Assíncrono, em que cada núcleo funciona de forma independente, você recebe a quantidade exata de energia quando precisa, sem gastos desnecessários, que unido ao recurso modo STAMINA, evita o desperdício de carga da bateria.Viu só, quantos motivos você tem para correr e garantir o seu? Então, não perca mais tempo e adquira já o seu Xperia T2 Ultra Dual! Garantia de 90 dias pelo vendedor.",0
Relógio Smartwatch Watch 2 Ls02 Haylou Preto,HAYLOU,289.9,"Relogio Haylou LS02 Smartwatch 2 O LS02 é a versão atualizada do LS01, tem a tela maior. maior vida útil da bateria, Bluetooth 5.0, mais modos de esportes e cuidados para sua saúde. 12 modos de esporte para você definir e registrar seus objetivos e dados esportivos com interface de operação simples e fácil compreensão.","Smartwatch Haylou RS4 Plus, Bluetooth, Monitor de sono, Preto",HAYLOU,365.0,"O relógio smartwatch Haylou RS4 Plus apresenta aparência elegante, corpo metálico ultrafino e leve, tela sensível ao toque AMOLED de 1,78´´, 105 modos esportivos, medição de frequência cardíaca, monitor de sono, alerta sedentário, sensor de movimento, sensor SpO2, resistência à água IP68 e com autonomia de 10 dias no modo diário ou 28 dias no modo básico.MARCA: HaylouMODELO: RS4 Plus LS11VISOR: Touch Screen de 1.78´´ AMOLEDCOMPATIBILIDADE: Smartphones com iOS 11.0, Android 6.0 ou versões superiores desses sistemas operacionaisFUNÇÕES: Hora e data - Pedômetro - Mede a frequência cardíaca e a saturação de oxigênio no sangue (SpO2) através do pulso - Faz contagem das calorias queimadas e da distância percorrida - Monitora a qualidade de sono, a saúde feminina e os níveis de estresse - Cronômetro - Alarme - Previsão do tempo",0
"Carregador Portátil Power Bank Chnpineng Pn-956, 10.000 Mah, 3 Saídas USB, com Cabo Micro USB, Type-C,Lightning, Preto",CHNPINENG,141.79,"Ficou sem bateria, precisa de uma carga e não tem tomada por perto? Agora não precisa mais se preocupar, além de todas as vantagens de um carregador portátil da Pineng®, como segurança, durabilidade e qualidade. Com o carregador PN-956, você conta com o melhor da tecnologia em carregamento em um só produto, Além da qualidade de fabricação do Power Bank, que garante a praticidade em levar o carregador com você na mochila ou bolsa, e usar no dia-a-dia sem ter que ficar se preocupado em carregar os cabos do seu smartphone. O carregador portátil pinneg possui um display de LED que possui uma legenda intuitiva e indica a capacidade da bateria do carregador. E pra ficar ainda melhor você não precisar carregar aquele monte de cabos, pois esse novo modelo já vem com cabo acoplado para atender todos os dispositivos, pois além possuir uma saida USB, possui também cabos com conector MIcroUSB, Type-C e Lightning, Carregue até 3 dispositivos ao mesmo tempo. De 3 a 4 cargas completas no seu dispositivo sem precisar carregar. (Méd 3.000Mah) Compatível com dispositivos Android, Apple, Desktops, GPS, tablets, etc.Feito com material ABS à prova de fogo, resistente a alta temperatura e ao envelhecimento, e super resistência a abrasão. Aprovado em testes de segurança de 26 itens. Segue rigorosamente o teste adverso de 72h. Saída USB com inteligência de divisão de potência. (Auto-ID)...","Carregador Portátil Chnpineng,10000Mah, 3 Portas (1XMicro USB, 1XTipo C, 1X Lightinig) - Pn 956",CHNPINENG,149.9,"Carregador Portatil PN-956 10000 mah A Chnpineng é Considera como uma das melhores fabricantes de bateria portátil para celular. Ela reformulou a clássica PN-951. Agora ao invés de chacoalhar para ligar, você pressiona apenas o botão e não para por ai, mais compacta e agora com dois cabos que permite carregar dispositivos com entrada Micro Usb (V8), Type C (Tipo c) e Lightinig (compatível com os smartphones Iphone 5, 6, 7, 8, x, xr e xs).",1
Adaptador De Audio Vinik P2 + Carregador Para USB-C - ADPATC7.1,Vinik,62.9,"A linha Tipo C (Type C) é a mais recente aplicação dos padrões USB. Praticamente todos novos dispositivos lançados no mercado recentemente contam com pelo menos, uma porta tipo C, como Smartphones, notebooks, computadores, pendrives, etc. Este adaptador de som de 7.1 canais Type C é uma interface de áudio altamente flexível, que pode ser usado em desktop ou notebook. Transforma o seu alto-falante estéreo ou fones de ouvido em 7.1 ambiente de canal. Placa de áudio USB TYPE C 7.1 Digital plug & play. Basta plugar no celular ou PC, que funciona automaticamente com Windows Vista, 7, 8, 8.1 e 10 (nenhum drive necessário). Compatível com full-speed (10Mbps)..",Adaptador De Fone P2 Para Usb Tipo C 7.1 Audio - Adfusbtc,Vinik,28.83,"A linha de cabos, adaptadores e conversores Vinik, são as melhores opções no mercado. Sem perder a qualidade na sua necessidade de adaptar ou converter as entradas de áudio e vídeos de seus aparelhos. Suporte a função de chamada e função de controle de volume Compatível com a maioria dos dispositivos móveis Tipo C.",1
Película Premium iPhone 12 Tela 5.4 - Hprime Nanoshield,HPRIME,29.9,Película Premium iPhone 12 Tela 5.4 - Hprime Nanoshield,Película Hprime Lens Protect Serie iPhone 12 (todos) Lente,HPRIME,29.9,"Película Premium HPrime Lens Protect A Película Premium HPrime Lens Protect é ideal para quem busca proteção sem perder a qualidade na câmera. As Películas Premium HPrime são a melhor opção para a proteção da tela do seu aparelho. Produzidas com matéria prima de 1ª qualidade importada do Japão, elas são extremamente resistentes. Cada película é milimetricamente projetada para ter um encaixe perfeito no aparelho desejado.Índice máximo de transparência Proteção contra riscos e arranhões Sem perda de sensibilidade do touchscreen Tecnologia Electra-SAT - sem uso de cola Recorte específico para o aparelho Aplicação livre de bolhas Você receberá tudo o que precisa para uma aplicação perfeita, livre de bolhas, com os acessórios exclusivos",1
Carregador Por Indução Sem Fio Fam Fca-qw02,FAM,63.48,Carregador Por Indução Sem Fio Fam Fca-qw02,Kit Carregador E Cabo Lightning Fam Fkt-1105,FAM,47.99,Kit Carregador E Cabo Lightning Fam Fkt-1105,0
"Combo Smartphone Multilaser F 3G 32GB Tela 5,5 Preto e Simcard Arqia4u o Maior Do Brasil - P9212K",MULTILASER,434.24,"Smartphone Multilaser F, trazendo mais versatilidade para o seu dia a dia.

Chega de senhas, Multilaser F possui sensor de digitais, em apenas um to",Combo Connect - Smartphone Nokia G21 Azul 4G 128GB Tela HD+ 6.5 Pol. 90Hz Dual Chip 4GB RAM e Kit Arqia4u SimCard - NK083K,MULTILASER,1060.49,"Ideias incríveis agora ganham vida com seu Nokia G21.
Tela de 6.5”HD+ com taxa de atualização mais rápida de 90Hz, em uma tela grande.
Câmera tripla",0
"Carregador de Tomada com Cabo USB, Js Technology Para Samsung Galaxy Tab Gt-n8000 Gt-n8010 Tab 2, Preto - P5110",Js Technology,99.99,Carregador Samsung Galaxy Tab Gt-N8000 Gt-N8010 Tab 2 P5110.,"Carregador de Tomada com Cabo USB, Js Technology Para Samsung Galaxy Tab Gt-n8000 Gt-n8010 Tab 2, Preto - P5110",Js Technology,99.99,Carregador Samsung Galaxy Tab Gt-N8000 Gt-N8010 Tab 2 P5110.,1
"Smartwatch Smart Bracelet T80, Monitor de Saúde, Android, IOS, Rosa + 2 Pulseiras Milanesa, Rosê e Arco Íris",Smart Bracelet,239.9,"Detalhes O relógio SmartWatch P70 possui muitas diversas funções. Com ele você pode ler mensagens, ver notificações, SMS e muito mais! O aplicativo para configurar o relógio é disponibilizado no manual enviado juntamente ao produto, possível de ser encontrado no Google Play e App Store. Para parear o smartphone com o relógio: Abra o aplicativo no seu telefone. Vá em ″device″ ou ″dispositivos″ e selecione ″adicionar um dispositivo″. Escolha o relógio na lista. Pronto para usar!","Relógio Smartwatch D20, Android Ios - Branco",Smart Bracelet,54.99,"Relógio Smartwatch D20, Android Ios Novo Cor Da Caixa:branco",0
Cabo HP - USB-C Original 2M 480MBps Dhc-tc100 3a Branco,Hp,29.9,"Cabo hp usb - usb-c original 2m 480mbps dhc-tc100 3a branco   carregue o seu dispositivo com a segurança que ele merece. Conecte-se em qualquer posição com o cabo tipo-c, com uma recarga muito mais rápida e de alta velocidade de transferência de dados.   especificações cor: branco marca: hp modelo: dhc-tc100 material: pvc comprimento do cabo: 2 mt cabo: usb tipo c velocidade: 480 mbps voltagem: 5v - 3amax.   código de barras: 6972431710923",Adaptador De Vídeo Tipo-c Hp Para Hdmi Dhc-ct203.,Hp,329.9,"Características: - marca:hp - modelo:dhc-ct203 especificações: - comprimento do cabo: 15 centímetros - 4k 30hz para hdmi - cabo tpe - acabamento de alumínio - conecte seu computador a dispositivos de interface hdmi, como monitor, tv, projetor etc. - o produto suporta transmissão de sinal 1080p a 60hz hd e é compatível com o formato de imagem 720p/480p - proteção de casca de alumínio de metal usb c 3.1: entrada - hdmi: resolução 4kx2k30hz max compatibilidade: - microsoft - windows 10 e superior conteúdo da embalagem: - 01 adaptador de vídeo tipo-c para hdmi dhc-ct203",0
"Carregador De Tomada USB Feitun Sh-5035, 2 portas - Branco",Feitun,20.28,"O carregador de tomadaSH-5035 da Feitunpossui 2 portas USB que permitem a recarga simultânea de até dois aparelhos. Oferece um acabamento de excelente qualidade e durabilidade, garantindo total segurança ao usuário.","Carregador De Tomada USB Feitun Sh-5035, 2 portas - Branco",Feitun,20.28,"O carregador de tomadaSH-5035 da Feitunpossui 2 portas USB que permitem a recarga simultânea de até dois aparelhos. Oferece um acabamento de excelente qualidade e durabilidade, garantindo total segurança ao usuário.",1
"Suporte De Celular Greika Wt-08, Para Tripés, Preto",Greika,34.9,"Suporte de celular para utilizar em tripé. O suporte adaptador de celular WT-08 da Greika é de excelente qualidade e uma inovação no mercado. Sendo Flexível e leve você pode levar ele para onde quiser, suporte portátil podendo caber até mesmo em seu bolso. Esse Adaptador é Simples e de fácil montagem, e utilizado em diversos tipos e modelos de Smartphones de até 8cm.","Suporte De Celular Greika Wt-08, Para Tripés, Preto",Greika,34.9,"Suporte de celular para utilizar em tripé. O suporte adaptador de celular WT-08 da Greika é de excelente qualidade e uma inovação no mercado. Sendo Flexível e leve você pode levar ele para onde quiser, suporte portátil podendo caber até mesmo em seu bolso. Esse Adaptador é Simples e de fácil montagem, e utilizado em diversos tipos e modelos de Smartphones de até 8cm.",1
